,service_date,day_type,bus,rail_boardings,total_rides
6998,2020-02-29,A,458601,337983,796584
6999,2020-03-01,U,357257,267438,624695
7000,2020-03-02,W,785700,666046,1451746
7001,2020-03-03,W,834640,701777,1536417
7002,2020-03-04,W,815420,699192,1514612
7003,2020-03-05,W,803260,698732,1501992
7004,2020-03-06,W,767084,655010,1422094
7005,2020-03-07,A,455672,366530,822202
7006,2020-03-08,U,343291,269577,612868
7007,2020-03-09,W,736013,647602,1383615
7008,2020-03-10,W,787025,678996,1466021
7009,2020-03-11,W,767610,660739,1428349
7010,2020-03-12,W,737628,601682,1339310
7011,2020-03-13,W,674594,496474,1171068
7012,2020-03-14,A,347925,235841,583766
7013,2020-03-15,U,256591,166575,423166
7014,2020-03-16,W,493179,284844,778023
7015,2020-03-17,W,390091,217294,607385
7016,2020-03-18,W,320242,179316,499558
7017,2020-03-19,W,305501,163013,468514
7018,2020-03-20,W,303882,152797,456679
7019,2020-03-21,A,185406,86695,272101
7020,2020-03-22,U,113282,60490,173772
7021,2020-03-23,W,212121,103992,316113
7022,2020-03-24,W,220319,105312,325631
7023,2020-03-25,W,229414,106913,336327
7024,2020-03-26,W,211746,100860,312606
7025,2020-03-27,W,220715,102714,323429
7026,2020-03-28,A,144561,68572,213133
7027,2020-03-29,U,111188,57736,168924
7028,2020-03-30,W,208762,96996,305758
7029,2020-03-31,W,200537,94709,295246
7030,2020-04-01,W,235503,100042,335545
7031,2020-04-02,W,214222,95183,309405
7032,2020-04-03,W,240528,101015,341543
7033,2020-04-04,A,154302,65727,220029
7034,2020-04-05,U,118701,53173,171874
7035,2020-04-06,W,199323,89714,289037
7036,2020-04-07,W,202629,90824,293453
7037,2020-04-08,W,197789,88894,286683
7038,2020-04-09,W,189898,86725,276623
7039,2020-04-10,W,202934,85608,288542
7040,2020-04-11,A,161743,59808,221551
7041,2020-04-12,U,117907,46243,164150
7042,2020-04-13,W,199679,79074,278753
7043,2020-04-14,W,196277,79616,275893
7044,2020-04-15,W,199545,78844,278389
7045,2020-04-16,W,213862,79764,293626
7046,2020-04-17,W,205280,77935,283215
7047,2020-04-18,A,175887,58347,234234
7048,2020-04-19,U,135539,47512,183051
7049,2020-04-20,W,225938,79017,304955
